2021-08-29 15:14:40,412 epoch 13 done, accu_1 = 0.435366, accu_10 = 0.662039
2021-08-29 15:17:07,095 epoch 14 done, accu_1 = 0.428539, accu_10 = 0.654301
2021-08-29 15:19:49,384 epoch 15 done, accu_1 = 0.421484, accu_10 = 0.658398
2021-08-29 15:22:24,655 epoch 16 done, accu_1 = 0.428994, accu_10 = 0.656350
2021-08-29 15:24:54,064 epoch 17 done, accu_1 = 0.440373, accu_10 = 0.661129
2021-08-29 15:27:29,674 epoch 18 done, accu_1 = 0.441739, accu_10 = 0.663405
2021-08-29 15:30:04,874 epoch 19 done, accu_1 = 0.431497, accu_10 = 0.662267
2021-08-29 15:32:42,561 epoch 20 done, accu_1 = 0.442421, accu_10 = 0.662267
2021-08-29 15:35:18,814 epoch 21 done, accu_1 = 0.444242, accu_10 = 0.663860
2021-08-29 15:37:56,433 epoch 22 done, accu_1 = 0.441056, accu_10 = 0.665680
2021-08-29 15:40:31,611 epoch 23 done, accu_1 = 0.442649, accu_10 = 0.660901
2021-08-29 15:43:05,481 epoch 24 done, accu_1 = 0.451297, accu_10 = 0.662494
2021-08-29 15:45:43,902 epoch 25 done, accu_1 = 0.449249, accu_10 = 0.667046
2021-08-29 15:48:22,152 epoch 26 done, accu_1 = 0.435366, accu_10 = 0.659081
2021-08-29 15:51:02,454 epoch 27 done, accu_1 = 0.446746, accu_10 = 0.661584
2021-08-29 15:53:37,385 epoch 28 done, accu_1 = 0.446063, accu_10 = 0.663405
2021-08-29 15:56:13,082 epoch 29 done, accu_1 = 0.446746, accu_10 = 0.659536
2021-08-29 17:45:51,070 epoch 1 done, accu_1 = 0.375284, accu_10 = 0.640419
2021-08-29 18:00:48,484 epoch 1 done, accu_1 = 0.323396, accu_10 = 0.654074
2021-08-29 18:05:42,587 epoch 1 done, accu_1 = 0.323396, accu_10 = 0.654074
2021-08-29 18:09:01,155 epoch 2 done, accu_1 = 0.323851, accu_10 = 0.653846
2021-08-29 18:11:06,645 epoch 1 done, accu_1 = 0.375284, accu_10 = 0.640419
2021-08-29 18:12:16,568 epoch 3 done, accu_1 = 0.323623, accu_10 = 0.653846
2021-08-29 18:13:36,686 epoch 2 done, accu_1 = 0.389395, accu_10 = 0.640191
2021-08-29 18:15:40,176 epoch 4 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:16:08,881 epoch 3 done, accu_1 = 0.329540, accu_10 = 0.651570
2021-08-29 18:18:31,099 epoch 5 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:18:45,489 epoch 4 done, accu_1 = 0.392126, accu_10 = 0.653163
2021-08-29 18:21:17,217 epoch 6 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:21:25,777 epoch 5 done, accu_1 = 0.407374, accu_10 = 0.660218
2021-08-29 18:24:04,165 epoch 6 done, accu_1 = 0.401684, accu_10 = 0.659308
2021-08-29 18:25:08,957 epoch 7 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:26:41,486 epoch 7 done, accu_1 = 0.424215, accu_10 = 0.660674
2021-08-29 18:28:05,322 epoch 8 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:29:15,126 epoch 8 done, accu_1 = 0.421484, accu_10 = 0.659308
2021-08-29 18:30:40,047 epoch 9 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:31:49,493 epoch 9 done, accu_1 = 0.422167, accu_10 = 0.660901
2021-08-29 18:33:27,770 epoch 10 done, accu_1 = 0.327492, accu_10 = 0.655667
2021-08-29 18:34:28,849 epoch 10 done, accu_1 = 0.421029, accu_10 = 0.646336
2021-08-29 18:36:11,680 epoch 11 done, accu_1 = 0.323396, accu_10 = 0.653846
2021-08-29 18:37:07,120 epoch 11 done, accu_1 = 0.431497, accu_10 = 0.664998
2021-08-29 18:38:54,669 epoch 12 done, accu_1 = 0.334092, accu_10 = 0.656577
2021-08-29 18:39:42,827 epoch 12 done, accu_1 = 0.431497, accu_10 = 0.662722
2021-08-29 18:41:35,123 epoch 13 done, accu_1 = 0.334092, accu_10 = 0.653163
2021-08-29 18:42:22,601 epoch 13 done, accu_1 = 0.435366, accu_10 = 0.662039
2021-08-29 18:44:14,254 epoch 14 done, accu_1 = 0.332954, accu_10 = 0.657943
2021-08-29 18:45:01,784 epoch 14 done, accu_1 = 0.428539, accu_10 = 0.654301
2021-08-29 18:46:50,435 epoch 15 done, accu_1 = 0.351161, accu_10 = 0.657715
2021-08-29 18:47:39,186 epoch 15 done, accu_1 = 0.421484, accu_10 = 0.658398
2021-08-29 18:49:26,970 epoch 16 done, accu_1 = 0.353436, accu_10 = 0.654756
2021-08-29 18:50:15,627 epoch 16 done, accu_1 = 0.428994, accu_10 = 0.656350
2021-08-29 18:52:06,990 epoch 17 done, accu_1 = 0.331816, accu_10 = 0.659081
2021-08-29 18:52:52,252 epoch 17 done, accu_1 = 0.440373, accu_10 = 0.661129
2021-08-29 18:54:47,426 epoch 18 done, accu_1 = 0.363678, accu_10 = 0.657487
2021-08-29 18:55:45,273 epoch 18 done, accu_1 = 0.441739, accu_10 = 0.663405
2021-08-29 18:57:27,122 epoch 19 done, accu_1 = 0.347519, accu_10 = 0.660446
2021-08-29 18:58:20,314 epoch 19 done, accu_1 = 0.431497, accu_10 = 0.662267
2021-08-29 19:00:10,340 epoch 20 done, accu_1 = 0.357305, accu_10 = 0.658170
2021-08-29 19:00:54,591 epoch 20 done, accu_1 = 0.442421, accu_10 = 0.662267
2021-08-29 19:02:42,734 epoch 21 done, accu_1 = 0.376422, accu_10 = 0.661129
2021-08-29 19:03:21,889 epoch 21 done, accu_1 = 0.444242, accu_10 = 0.663860
2021-08-29 19:05:18,662 epoch 22 done, accu_1 = 0.394401, accu_10 = 0.666136
2021-08-29 19:06:06,156 epoch 22 done, accu_1 = 0.441056, accu_10 = 0.665680
2021-08-29 19:08:12,442 epoch 23 done, accu_1 = 0.367091, accu_10 = 0.651570
2021-08-29 19:09:13,247 epoch 23 done, accu_1 = 0.442649, accu_10 = 0.660901
2021-08-29 19:11:36,576 epoch 24 done, accu_1 = 0.378698, accu_10 = 0.661356
2021-08-29 19:12:30,528 epoch 24 done, accu_1 = 0.451297, accu_10 = 0.662494
2021-08-29 19:15:00,037 epoch 25 done, accu_1 = 0.369822, accu_10 = 0.660446
2021-08-29 19:15:59,105 epoch 25 done, accu_1 = 0.449249, accu_10 = 0.667046
2021-08-29 19:18:26,726 epoch 26 done, accu_1 = 0.369595, accu_10 = 0.645653
2021-08-29 19:19:23,788 epoch 26 done, accu_1 = 0.435366, accu_10 = 0.659081
2021-08-29 19:21:51,461 epoch 27 done, accu_1 = 0.383250, accu_10 = 0.653163
2021-08-29 19:22:45,958 epoch 27 done, accu_1 = 0.446746, accu_10 = 0.661584
2021-08-29 19:25:13,398 epoch 28 done, accu_1 = 0.374147, accu_10 = 0.651570
2021-08-29 19:26:09,995 epoch 28 done, accu_1 = 0.446063, accu_10 = 0.663405
2021-08-29 19:28:29,724 epoch 29 done, accu_1 = 0.387574, accu_10 = 0.652481
2021-08-29 19:29:33,610 epoch 29 done, accu_1 = 0.446746, accu_10 = 0.659536
2021-08-29 19:31:49,570 epoch 30 done, accu_1 = 0.380519, accu_10 = 0.654301
2021-08-29 19:32:57,986 epoch 30 done, accu_1 = 0.441966, accu_10 = 0.662722
2021-08-29 19:35:07,429 epoch 31 done, accu_1 = 0.369367, accu_10 = 0.658625
2021-08-29 19:36:18,328 epoch 31 done, accu_1 = 0.450842, accu_10 = 0.648384
2021-08-29 19:38:30,991 epoch 32 done, accu_1 = 0.387802, accu_10 = 0.661129
2021-08-29 19:39:41,016 epoch 32 done, accu_1 = 0.463814, accu_10 = 0.659763
2021-08-29 19:41:54,568 epoch 33 done, accu_1 = 0.395995, accu_10 = 0.659081
2021-08-29 19:43:04,942 epoch 33 done, accu_1 = 0.454711, accu_10 = 0.658398
2021-08-29 19:45:18,246 epoch 34 done, accu_1 = 0.388029, accu_10 = 0.652025
2021-08-29 19:46:27,960 epoch 34 done, accu_1 = 0.457214, accu_10 = 0.661584
2021-08-29 19:48:43,774 epoch 35 done, accu_1 = 0.399636, accu_10 = 0.661356
2021-08-29 19:49:53,428 epoch 35 done, accu_1 = 0.457670, accu_10 = 0.661584
2021-08-29 19:52:03,062 epoch 36 done, accu_1 = 0.388939, accu_10 = 0.652025
2021-08-29 19:53:14,277 epoch 36 done, accu_1 = 0.450614, accu_10 = 0.662494
2021-08-29 19:55:25,478 epoch 37 done, accu_1 = 0.413746, accu_10 = 0.662949
2021-08-29 19:56:36,365 epoch 37 done, accu_1 = 0.440828, accu_10 = 0.660901
2021-08-29 19:58:14,156 epoch 38 done, accu_1 = 0.379153, accu_10 = 0.659536
2021-08-29 20:00:00,078 epoch 38 done, accu_1 = 0.441511, accu_10 = 0.666591
2021-08-29 20:00:53,416 epoch 39 done, accu_1 = 0.400319, accu_10 = 0.652253
2021-08-29 20:02:36,550 epoch 39 done, accu_1 = 0.448794, accu_10 = 0.662494
2021-08-29 20:03:30,366 epoch 40 done, accu_1 = 0.389167, accu_10 = 0.654984
2021-08-29 20:05:12,665 epoch 40 done, accu_1 = 0.444015, accu_10 = 0.665908
2021-08-29 20:06:07,695 epoch 41 done, accu_1 = 0.385526, accu_10 = 0.658170
2021-08-29 20:07:45,332 epoch 41 done, accu_1 = 0.453345, accu_10 = 0.670005
2021-08-29 20:08:50,533 epoch 42 done, accu_1 = 0.405553, accu_10 = 0.652253
2021-08-29 20:10:19,169 epoch 42 done, accu_1 = 0.454256, accu_10 = 0.652026
